op,operator_run,status,already_in_ncnn,kernel_numeric,kernel_max_diff,e2e,e2e_max_diff,compile,correctness,correctness_max_diff,native_supported,speedup_shipped,speedup_fair,ours_ms,native_shipped_ms,native_fair_ms
GreaterEqual,True,success,False,success,0.0,True,0.0,True,True,0.0,False,,,,,
GridSample,True,success,True,success,1.1920928955078125e-07,True,1.1920928955078125e-07,True,True,1.1920928955078125e-07,True,,,,0.0,0.0
Group_Convolution_2D,True,success,True,success,0.0,True,0.0012100934982299805,True,True,0.0012100934982299805,True,0.048,0.036,38.4,1.83,1.96
Group_Convolution_2D_kernel,True,success,True,success,0.0,True,0.001382589340209961,True,True,0.001382589340209961,True,5.268,0.134,20.53,108.16,2.75
HardSigmoid,True,success,True,success,5.960464477539063e-08,True,5.960464477539063e-08,True,True,5.960464477539063e-08,True,4.048,1.476,0.21,0.85,0.31
InstanceNormalization,True,success,True,success,3.5762786865234375e-06,True,1.1920928955078125e-06,True,True,1.1920928955078125e-06,True,1.373,1.0,0.83,1.14,0.83
InstanceNormalization_1d,True,success,False,success,7.152557373046875e-07,True,4.76837158203125e-07,True,True,4.76837158203125e-07,False,,,0.02,,
InstanceNormalization_3d,True,success,True,success,1.430511474609375e-06,True,2.384185791015625e-06,True,True,2.384185791015625e-06,True,,,,,
LSTM,True,fail,True,success,4.470348358154297e-08,False,,,,,,,,,,
LayerNorm,True,success,True,success,1.0728836059570312e-06,True,8.344650268554688e-07,True,True,8.344650268554688e-07,True,1.61,1.771,0.41,0.66,0.62
LayerNorm_1d,True,success,True,success,1.430511474609375e-06,True,9.5367431640625e-07,True,True,9.5367431640625e-07,True,1.353,1.088,0.34,0.46,0.37
LayerNorm_3d,True,success,True,success,2.384185791015625e-06,True,9.5367431640625e-07,True,True,9.5367431640625e-07,True,1.6,1.2,0.05,0.08,0.06
LayerNorm_eps,True,success,True,success,9.5367431640625e-07,True,4.76837158203125e-07,True,True,4.76837158203125e-07,True,1.438,1.25,0.16,0.23,0.2
LayerNorm_no_affine,True,success,True,success,1.6689300537109375e-06,True,9.5367431640625e-07,True,True,9.5367431640625e-07,True,1.544,1.161,0.68,1.05,0.65
LayerNorm_vision,True,success,True,success,2.1457672119140625e-06,True,7.152557373046875e-07,True,True,7.152557373046875e-07,True,1.571,1.417,0.77,1.21,1.02
Less,True,success,False,success,0.0,True,0.0,True,True,0.0,False,,,,,
LessEqual,True,success,False,success,0.0,True,0.0,True,True,0.0,False,,,,,
Log,True,success,True,success,2.384185791015625e-07,True,2.384185791015625e-07,True,True,2.384185791015625e-07,True,0.906,1.0,0.32,0.29,0.32
LogSoftmax,True,success,True,success,9.5367431640625e-07,True,4.76837158203125e-07,True,True,4.76837158203125e-07,True,0.968,1.273,0.31,0.3,0.42
LogSoftmax_axis_0,True,success,True,success,4.76837158203125e-07,True,4.76837158203125e-07,True,True,4.76837158203125e-07,True,0.75,1.2,0.04,0.03,0.06
LogSoftmax_axis_1,True,success,True,success,4.76837158203125e-07,True,4.76837158203125e-07,True,True,4.76837158203125e-07,True,1.0,1.0,0.06,0.06,0.09
LogSoftmax_axis_2,True,success,True,success,9.5367431640625e-07,True,4.76837158203125e-07,True,True,4.76837158203125e-07,True,1.25,0.857,0.04,0.05,0.06
LogicalXor,True,success,False,success,0.0,True,0.0,True,True,0.0,False,,,,,
LogicalXor3d,True,success,False,success,0.0,True,0.0,True,True,0.0,False,,,,,
LogicalXor_2d,True,success,False,success,0.0,True,0.0,True,True,0.0,False,,,,,
MatMul,True,success,True,success,0.0,True,0.0,True,True,0.0,True,,,,,
